DeviceID,PeripheralID,Name,MotionType,PositionScale,VelocityScale,AccelerationScale,ForceScale,IsScaleResolutionDependent,
952,2232,T-MCA Controller + NM23B10,Rotary,0.555556,0.059259,0.000049,0,1,
952,2233,T-MCA Controller + NM23C10,Rotary,0.555556,0.059259,0.000049,0,1,
952,2341,T-MCA Controller + NM34A20,Rotary,0.555556,0.059259,0.000049,0,1,
952,2342,T-MCA Controller + NM34B20,Rotary,0.555556,0.059259,0.000049,0,1,
952,2343,T-MCA Controller + NM34C20,Rotary,0.555556,0.059259,0.000049,0,1,
952,5081,T-MCA Controller + NA08A25,Linear,328083.9895,34995.62555,29.163021,0,1,
952,5082,T-MCA Controller + NA08A50,Linear,328083.9895,34995.62555,29.163021,0,1,
952,5091,T-MCA Controller + NA08A25-V,Linear,328083.9895,34995.62555,29.163021,0,1,
952,5092,T-MCA Controller + NA08A50-V,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6110,T-MCA Controller + LSM025A,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6112,T-MCA Controller + LSM025A-V,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6120,T-MCA Controller + LSM025B,Linear,82020.99738,8748.906387,7.290755,0,1,
952,6122,T-MCA Controller + LSM025B-V,Linear,82020.99738,8748.906387,7.290755,0,1,
952,6210,T-MCA Controller + LSM050A,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6212,T-MCA Controller + LSM050A-V,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6220,T-MCA Controller + LSM050B,Linear,82020.99738,8748.906387,7.290755,0,1,
952,6222,T-MCA Controller + LSM050B-V,Linear,82020.99738,8748.906387,7.290755,0,1,
952,6310,T-MCA Controller + LSM100A,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6312,T-MCA Controller + LSM100A-V,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6320,T-MCA Controller + LSM100B,Linear,82020.99738,8748.906387,7.290755,0,1,
952,6322,T-MCA Controller + LSM100B-V,Linear,82020.99738,8748.906387,7.290755,0,1,
952,6410,T-MCA Controller + LSM200A,Linear,328083.9895,34995.62555,29.163021,0,1,
